Bash: Compile ....
Bash: Run the program
Enter file name: 

Token                                         Lexi
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
KEYWORD                                       bool
IDENTIFIER                                finished
OPERATOR                                         =
KEYWORD                                      false
SEPERATOR                                        ;
KEYWORD                                         if
SEPERATOR                                        (
IDENTIFIER                                finished
OPERATOR                                        ==
KEYWORD                                      false
SEPERATOR                                        )
SEPERATOR                                        {
KEYWORD                                        int
IDENTIFIER                               my_matrix
SEPERATOR                                        [
INTEGER                                          2
SEPERATOR                                        ]
SEPERATOR                                        [
INTEGER                                          2
SEPERATOR                                        ]
OPERATOR                                         =
SEPERATOR                                        [
SEPERATOR                                        [
INTEGER                                          2
SEPERATOR                                        ,
INTEGER                                          3
SEPERATOR                                        ]
SEPERATOR                                        [
INTEGER                                          4
SEPERATOR                                        ,
INTEGER                                          3
SEPERATOR                                        ]
SEPERATOR                                        ]
SEPERATOR                                        ;
KEYWORD                                        int
IDENTIFIER                                    left
SEPERATOR                                        ;
KEYWORD                                        int
IDENTIFIER                                   right
SEPERATOR                                        ;
KEYWORD                                      float
UNKNOWN                        65.NOTSUPPOSED.WORK
OPERATOR                                         =
REAL                                           0.0
SEPERATOR                                        ;
KEYWORD                                      while
SEPERATOR                                        (
IDENTIFIER                                       i
OPERATOR                                         <
INTEGER                                          2
SEPERATOR                                        )
SEPERATOR                                        {
KEYWORD                                      while
SEPERATOR                                        (
IDENTIFIER                                       j
OPERATOR                                         <
INTEGER                                          2
SEPERATOR                                        )
SEPERATOR                                        {
IDENTIFIER                                    cout
OPERATOR                                         <
OPERATOR                                         <
IDENTIFIER                               my_matrix
SEPERATOR                                        [
IDENTIFIER                                       i
SEPERATOR                                        ]
SEPERATOR                                        [
IDENTIFIER                                       j
SEPERATOR                                        ]
OPERATOR                                         <
OPERATOR                                         <
IDENTIFIER                                    endl
SEPERATOR                                        ;
IDENTIFIER                                       j
OPERATOR                                         =
IDENTIFIER                                       j
OPERATOR                                         +
INTEGER                                          1
SEPERATOR                                        ;
SEPERATOR                                        }
IDENTIFIER                                       i
OPERATOR                                         =
IDENTIFIER                                       i
OPERATOR                                         +
INTEGER                                          1
SEPERATOR                                        ;
SEPERATOR                                        }
IDENTIFIER                                   right
OPERATOR                                         =
IDENTIFIER                               my_matrix
SEPERATOR                                        [
INTEGER                                          0
SEPERATOR                                        ]
SEPERATOR                                        [
INTEGER                                          1
SEPERATOR                                        ]
OPERATOR                                         *
IDENTIFIER                               my_matrix
SEPERATOR                                        [
INTEGER                                          1
SEPERATOR                                        ]
SEPERATOR                                        [
INTEGER                                          1
SEPERATOR                                        ]
SEPERATOR                                        ;
IDENTIFIER                                    left
OPERATOR                                         =
IDENTIFIER                               my_matrix
SEPERATOR                                        [
INTEGER                                          0
SEPERATOR                                        ]
SEPERATOR                                        [
INTEGER                                          0
SEPERATOR                                        ]
OPERATOR                                         *
IDENTIFIER                               my_matrix
SEPERATOR                                        [
INTEGER                                          1
SEPERATOR                                        ]
SEPERATOR                                        [
INTEGER                                          0
SEPERATOR                                        ]
SEPERATOR                                        ;
IDENTIFIER                                  answer
OPERATOR                                         =
IDENTIFIER                                    left
OPERATOR                                         *
IDENTIFIER                                   right
SEPERATOR                                        ;
IDENTIFIER                                    cout
OPERATOR                                         <
OPERATOR                                         <
SEPERATOR                                        "
IDENTIFIER                                     The
IDENTIFIER                             determinant
IDENTIFIER                                      of
IDENTIFIER                                     the
IDENTIFIER                                  matrix
IDENTIFIER                                      is
SEPERATOR                                        :
SEPERATOR                                        "
OPERATOR                                         <
OPERATOR                                         <
IDENTIFIER                                  answer
SEPERATOR                                        ;
IDENTIFIER                                finished
OPERATOR                                         =
KEYWORD                                       true
SEPERATOR                                        ;
SEPERATOR                                        }

Bash: The script file will now terminate
